ID	parent ID	DE	DE neu	DE merge	EN	EN neu	EN merge	Abfragen	sort	kiel extract	kiel+	kiel overwrite	kiel result	goe extract	goe+	goe overwrite	goe merge	goe result
415.1	415.X	Allgemeines		Allgemeines	General works		General works	{"goe":{"dk":" lsg='7 hwk 2?'"},"kiel":["nor 340*","nor 410*"]}	415.1	["nor 340*","nor 410*"]	["nor 340*","nor 410*"]		["nor 340*","nor 410*"]	{"dk":" lsg='7 hwk 2?'"}	{"dk":" lsg='7 hwk 2?'"}		{"dk":" lsg='7 hwk 2?'"}	{"dk":" lsg='7 hwk 2?'"}
415.2	415.X	Wörterbücher		Wörterbücher	Dictionaries		Dictionaries	{"goe":{"dk":" lsg='7 hwk 300' or lsg='7 hwk 352'"},"kiel":["nor 374*","nor 413*","nor 415*","nor 420*","nor 432*"]}	415.2	["nor 374*","nor 413*","nor 415*","nor 420*","nor 432*"]	["nor 374*","nor 413*","nor 415*","nor 420*","nor 432*"]		["nor 374*","nor 413*","nor 415*","nor 420*","nor 432*"]	{"dk":" lsg='7 hwk 300' or lsg='7 hwk 352'"}	{"dk":" lsg='7 hwk 300' or lsg='7 hwk 352'"}		{"dk":" lsg='7 hwk 300' or lsg='7 hwk 352'"}	{"dk":" lsg='7 hwk 300' or lsg='7 hwk 352'"}
415.3	415.X	Sprachwissenschaft		Sprachwissenschaft	Linguistics		Linguistics	{"goe":{"dk":" lsg='7 hwk 3?'"},"kiel":["nor 35*","nor 36*","nor 370*","nor 38*","nor 39*","nor 40*"]}	415.3	["nor 35*","nor 36*","nor 370*","nor 38*","nor 39*","nor 40*"]	["nor 35*","nor 36*","nor 370*","nor 38*","nor 39*","nor 40*"]		["nor 35*","nor 36*","nor 370*","nor 38*","nor 39*","nor 40*"]	{"dk":" lsg='7 hwk 3?'"}	{"dk":" lsg='7 hwk 3?'"}		{"dk":" lsg='7 hwk 3?'"}	{"dk":" lsg='7 hwk 3?'"}
415.4	415.X	Sprachgeschichte		Sprachgeschichte	Language history		Language history	{"goe":{"dk":" lsg='7 hwk 320' or lsg='7 hwk 321' or lsg='7 hwk 323' or lsg='7 hwk 324'"},"kiel":["nor 350.700"]}	415.4	["nor 350.700"]	["nor 350.700"]		["nor 350.700"]	{"dk":" lsg='7 hwk 320' or lsg='7 hwk 321' or lsg='7 hwk 323' or lsg='7 hwk 324'"}	{"dk":" lsg='7 hwk 320' or lsg='7 hwk 321' or lsg='7 hwk 323' or lsg='7 hwk 324'"}		{"dk":" lsg='7 hwk 320' or lsg='7 hwk 321' or lsg='7 hwk 323' or lsg='7 hwk 324'"}	{"dk":" lsg='7 hwk 320' or lsg='7 hwk 321' or lsg='7 hwk 323' or lsg='7 hwk 324'"}
416.X	41X	Norwegisch		Norwegisch	Norwegian		Norwegian	{"goe":{"no":" lsg='7 hwg?'"}}	416.-		["nor 500*","nor 535*","nor 508*","nor 52*","nor 54*","nor 55*","nor 564*","nor 514*"]		["nor 500*","nor 535*","nor 508*","nor 52*","nor 54*","nor 55*","nor 564*","nor 514*"]	{"no":" lsg='7 hwg?'"}	{"no":" lsg='7 hwg?'"}		{"no":" lsg='7 hwg?'"}	{"no":" lsg='7 hwg?'"}
416.1	416.X	Allgemeines		Allgemeines	General works		General works	{"goe":{"no":" lsg='7 hwg 2?'"},"kiel":["nor 500*"]}	416.1	["nor 500*"]	["nor 500*"]		["nor 500*"]	{"no":" lsg='7 hwg 2?'"}	{"no":" lsg='7 hwg 2?'"}		{"no":" lsg='7 hwg 2?'"}	{"no":" lsg='7 hwg 2?'"}
416.2	416.X	Wörterbücher		Wörterbücher	Dictionaries		Dictionaries	{"goe":{"no":" lsg='7 hwg 300' or lsg='7 hwg 352'"},"kiel":["nor 535*"]}	416.2	["nor 535*"]	["nor 535*"]		["nor 535*"]	{"no":" lsg='7 hwg 300' or lsg='7 hwg 352'"}	{"no":" lsg='7 hwg 300' or lsg='7 hwg 352'"}		{"no":" lsg='7 hwg 300' or lsg='7 hwg 352'"}	{"no":" lsg='7 hwg 300' or lsg='7 hwg 352'"}
416.3	416.X	Sprachwissenschaft		Sprachwissenschaft	Linguistics		Linguistics	{"goe":{"no":" lsg='7 hwg 3?'"},"kiel":["nor 508*","nor 52*","nor 54*","nor 55*","nor 564*"]}	416.3	["nor 508*","nor 52*","nor 54*","nor 55*","nor 564*"]	["nor 508*","nor 52*","nor 54*","nor 55*","nor 564*"]		["nor 508*","nor 52*","nor 54*","nor 55*","nor 564*"]	{"no":" lsg='7 hwg 3?'"}	{"no":" lsg='7 hwg 3?'"}		{"no":" lsg='7 hwg 3?'"}	{"no":" lsg='7 hwg 3?'"}
416.4	416.X	Sprachgeschichte		Sprachgeschichte	Language history		Language history	{"goe":{"no":" lsg='7 hwg 320' or lsg='7 hwg 321' or lsg='7 hwg 323' or lsg='7 hwg 324'"},"kiel":["nor 514*"]}	416.4	["nor 514*"]	["nor 514*"]		["nor 514*"]	{"no":" lsg='7 hwg 320' or lsg='7 hwg 321' or lsg='7 hwg 323' or lsg='7 hwg 324'"}	{"no":" lsg='7 hwg 320' or lsg='7 hwg 321' or lsg='7 hwg 323' or lsg='7 hwg 324'"}		{"no":" lsg='7 hwg 320' or lsg='7 hwg 321' or lsg='7 hwg 323' or lsg='7 hwg 324'"}	{"no":" lsg='7 hwg 320' or lsg='7 hwg 321' or lsg='7 hwg 323' or lsg='7 hwg 324'"}
43X	vn11	Ostseefinnische Sprachen		Ostseefinnische Sprachen	Finnish, Estonian		Finnish, Estonian	{"goe":{"fi":" lsg='7 jlm 2?' or lsg='7 jlm 3?' or lsg='7 jln 3?' and lsg='7 jls 3?' or lsg='7 jln 2?' and lsg='7 jls 2?'"}}	43-		["sla 853*","sla 860*","sla 865.460","sla 865.100","sla 843.840","sla 865.300","sla 865.320","sla 865.340","sla 865.360","sla 865.380","sla 865.400","sla 865.420","sla 865.440","sla 865.480","sla 865.500","sla 865.600","sla 865.200","sla 853.800","sla 843.840","sla 853.810","sla 853.820","sla 853.860"]		["sla 853*","sla 860*","sla 865.460","sla 865.100","sla 843.840","sla 865.300","sla 865.320","sla 865.340","sla 865.360","sla 865.380","sla 865.400","sla 865.420","sla 865.440","sla 865.480","sla 865.500","sla 865.600","sla 865.200","sla 853.800","sla 843.840","sla 853.810","sla 853.820","sla 853.860"]	{"fi":" lsg='7 jlm 2?' or lsg='7 jlm 3?' or lsg='7 jln 3?' and lsg='7 jls 3?' or lsg='7 jln 2?' and lsg='7 jls 2?'"}	{"fi":" lsg='7 jlm 2?' or lsg='7 jlm 3?' or lsg='7 jln 3?' and lsg='7 jls 3?' or lsg='7 jln 2?' and lsg='7 jls 2?'"}		{"fi":" lsg='7 jlm 2?' or lsg='7 jlm 3?' or lsg='7 jln 3?' and lsg='7 jls 3?' or lsg='7 jln 2?' and lsg='7 jls 2?'"}	{"fi":" lsg='7 jlm 2?' or lsg='7 jlm 3?' or lsg='7 jln 3?' and lsg='7 jls 3?' or lsg='7 jln 2?' and lsg='7 jls 2?'"}
430	43X	Allgemeines		Allgemeines	General works		General works	{"goe":{"fi":" lsg='7 jlm 2?' or lsg='7 jlm 300' or lsg='7 jln 300' and lsg='7 jls 300' or lsg='7 jln 2?' and lsg='7 jls 2?'"},"kiel":["sla 853*"]}	430	["sla 853*"]	["sla 853*"]		["sla 853*"]	{"fi":" lsg='7 jlm 2?' or lsg='7 jlm 300' or lsg='7 jln 300' and lsg='7 jls 300' or lsg='7 jln 2?' and lsg='7 jls 2?'"}	{"fi":" lsg='7 jlm 2?' or lsg='7 jlm 300' or lsg='7 jln 300' and lsg='7 jls 300' or lsg='7 jln 2?' and lsg='7 jls 2?'"}		{"fi":" lsg='7 jlm 2?' or lsg='7 jlm 300' or lsg='7 jln 300' and lsg='7 jls 300' or lsg='7 jln 2?' and lsg='7 jls 2?'"}	{"fi":" lsg='7 jlm 2?' or lsg='7 jlm 300' or lsg='7 jln 300' and lsg='7 jls 300' or lsg='7 jln 2?' and lsg='7 jls 2?'"}
431.X	43X	Finnisch		Finnisch	Finnish		Finnish	{"goe":{"fi":" lsg='7 jln 3?' or lsg='7 jln 2?'"}}	431.-		["sla 860*","sla 865.460","sla 865.100","sla 843.840","sla 865.300","sla 865.320","sla 865.340","sla 865.360","sla 865.380","sla 865.400","sla 865.420","sla 865.440","sla 865.480","sla 865.500","sla 865.600","sla 865.200"]		["sla 860*","sla 865.460","sla 865.100","sla 843.840","sla 865.300","sla 865.320","sla 865.340","sla 865.360","sla 865.380","sla 865.400","sla 865.420","sla 865.440","sla 865.480","sla 865.500","sla 865.600","sla 865.200"]	{"fi":" lsg='7 jln 3?' or lsg='7 jln 2?'"}	{"fi":" lsg='7 jln 3?' or lsg='7 jln 2?'"}		{"fi":" lsg='7 jln 3?' or lsg='7 jln 2?'"}	{"fi":" lsg='7 jln 3?' or lsg='7 jln 2?'"}
431.1	431.X	Allgemeines, Fennistik		Allgemeines, Fennistik	General works, Fennistics		General works, Fennistics	{"goe":{"fi":" lsg='7 jln 2? '"},"kiel":["sla 860*"]}	431.1	["sla 860*"]	["sla 860*"]		["sla 860*"]	{"fi":" lsg='7 jln 2? '"}	{"fi":" lsg='7 jln 2? '"}		{"fi":" lsg='7 jln 2? '"}	{"fi":" lsg='7 jln 2? '"}
431.2	431.X	Wörterbücher		Wörterbücher	Dictionaries		Dictionaries	{"goe":{"fi":" lsg='7 jln 300' or lsg='7 jln 352'"},"kiel":["sla 865.460"]}	431.2	["sla 865.460"]	["sla 865.460"]		["sla 865.460"]	{"fi":" lsg='7 jln 300' or lsg='7 jln 352'"}	{"fi":" lsg='7 jln 300' or lsg='7 jln 352'"}		{"fi":" lsg='7 jln 300' or lsg='7 jln 352'"}	{"fi":" lsg='7 jln 300' or lsg='7 jln 352'"}
431.3	431.X	Sprachwissenschaft		Sprachwissenschaft	Linguistics		Linguistics	{"goe":{"fi":" lsg='7 jln 3?'"},"kiel":["sla 865.100","sla 843.840","sla 865.300","sla 865.320","sla 865.340","sla 865.360","sla 865.380","sla 865.400","sla 865.420","sla 865.440","sla 865.480","sla 865.500","sla 865.600"]}	431.3	["sla 865.100","sla 843.840","sla 865.300","sla 865.320","sla 865.340","sla 865.360","sla 865.380","sla 865.400","sla 865.420","sla 865.440","sla 865.480","sla 865.500","sla 865.600"]	["sla 865.100","sla 843.840","sla 865.300","sla 865.320","sla 865.340","sla 865.360","sla 865.380","sla 865.400","sla 865.420","sla 865.440","sla 865.480","sla 865.500","sla 865.600"]		["sla 865.100","sla 843.840","sla 865.300","sla 865.320","sla 865.340","sla 865.360","sla 865.380","sla 865.400","sla 865.420","sla 865.440","sla 865.480","sla 865.500","sla 865.600"]	{"fi":" lsg='7 jln 3?'"}	{"fi":" lsg='7 jln 3?'"}		{"fi":" lsg='7 jln 3?'"}	{"fi":" lsg='7 jln 3?'"}
431.4	431.X	Sprachgeschichte		Sprachgeschichte	Language history		Language history	{"goe":{"fi":" lsg='7 jln 320' or lsg='7 jln 321or lsg='7 jln 323' or lsg='7 jln 324'"},"kiel":["sla 865.200"]}	431.4	["sla 865.200"]	["sla 865.200"]		["sla 865.200"]	{"fi":" lsg='7 jln 320' or lsg='7 jln 321or lsg='7 jln 323' or lsg='7 jln 324'"}	{"fi":" lsg='7 jln 320' or lsg='7 jln 321or lsg='7 jln 323' or lsg='7 jln 324'"}		{"fi":" lsg='7 jln 320' or lsg='7 jln 321or lsg='7 jln 323' or lsg='7 jln 324'"}	{"fi":" lsg='7 jln 320' or lsg='7 jln 321or lsg='7 jln 323' or lsg='7 jln 324'"}
432.X	43X	Estnisch		Estnisch	Estonian		Estonian		432.-		["sla 853.800","sla 843.840","sla 853.810","sla 853.820","sla 853.860"]		["sla 853.800","sla 843.840","sla 853.810","sla 853.820","sla 853.860"]		Loading...			Loading...
432.1	432.X	Allgemeines, Estnische Philologie		Allgemeines, Estnische Philologie	General works, Estonian philology		General works, Estonian philology	{"kiel":["sla 853.800"]}	432.1	["sla 853.800"]	["sla 853.800"]		["sla 853.800"]			{}
432.2	432.X	Wörterbücher		Wörterbücher	Dictionaries		Dictionaries	{"kiel":["sla 843.840"]}	432.2	["sla 843.840"]	["sla 843.840"]		["sla 843.840"]			{}
432.3	432.X	Sprachwissenschaft		Sprachwissenschaft	Linguistics		Linguistics	{"kiel":["sla 853.810","sla 853.820"]}	432.3	["sla 853.810","sla 853.820"]	["sla 853.810","sla 853.820"]		["sla 853.810","sla 853.820"]			{}
432.4	432.X	Sprachgeschichte		Sprachgeschichte	Language history		Language history	{"kiel":["sla 853.860"]}	432.4	["sla 853.860"]	["sla 853.860"]		["sla 853.860"]			{}
44X	vn11	Saamisch		Saamisch	Sami		Sami	{"goe":{"fi":" lsg='7 jll 2?' or lsg='7 jll 3?'"},"kiel":["sla 852*"]}	44-	["sla 852*"]	["sla 852*"]		["sla 852*"]	{"fi":" lsg='7 jll 2?' or lsg='7 jll 3?'"}	{"fi":" lsg='7 jll 2?' or lsg='7 jll 3?'"}		{"fi":" lsg='7 jll 2?' or lsg='7 jll 3?'"}	{"fi":" lsg='7 jll 2?' or lsg='7 jll 3?'"}
45X	vn11	Grönländisch		Grönländisch	Greenlandic		Greenlandic		45-			xxx				xxx
70X	vn5	Künste, bildende und angewandte Kunst		Künste, bildende und angewandte Kunst	The arts, fine and decorative arts		The arts, fine and decorative arts	{"goe":{"fi":" lsg='7 ga?' or lsg='7 ge?' or lsg='7 gg?' or lsg='7 geg?' or lsg='7 geh?' or lsg='7 gek?' or lsg='7 gh 300' or lsg='7 gem?' or lsg='7 gb?'"}}	70-		["kun 243*","kun 244.15","kun 29*","kun 990:mun 2","kun 990:lar 7"]		["kun 243*","kun 244.15","kun 29*","kun 990:mun 2","kun 990:lar 7"]	{"fi":" lsg='7 ga?' or lsg='7 ge?' or lsg='7 gg?' or lsg='7 geg?' or lsg='7 geh?' or lsg='7 gek?' or lsg='7 gh 300' or lsg='7 gem?' or lsg='7 gb?'"}	{"fi":" lsg='7 ga?' or lsg='7 ge?' or lsg='7 gg?' or lsg='7 geg?' or lsg='7 geh?' or lsg='7 gek?' or lsg='7 gh 300' or lsg='7 gem?' or lsg='7 gb?'"}		{"fi":" lsg='7 ga?' or lsg='7 ge?' or lsg='7 gg?' or lsg='7 geg?' or lsg='7 geh?' or lsg='7 gek?' or lsg='7 gh 300' or lsg='7 gem?' or lsg='7 gb?'"}	{"fi":" lsg='7 ga?' or lsg='7 ge?' or lsg='7 gg?' or lsg='7 geg?' or lsg='7 geh?' or lsg='7 gek?' or lsg='7 gh 300' or lsg='7 gem?' or lsg='7 gb?'"}
701	70X	Museen und Ausstellungen		Museen und Ausstellungen	Museums and exhibitions		Museums and exhibitions	{"goe":{"fi":" lsg='7 gea 100' or lsg='7 gea 300'"},"kiel":["kun 243*","kun 244.15"]}	701	["kun 243*","kun 244.15"]	["kun 243*","kun 244.15"]		["kun 243*","kun 244.15"]	{"fi":" lsg='7 gea 100' or lsg='7 gea 300'"}	{"fi":" lsg='7 gea 100' or lsg='7 gea 300'"}		{"fi":" lsg='7 gea 100' or lsg='7 gea 300'"}	{"fi":" lsg='7 gea 100' or lsg='7 gea 300'"}
702	70X	Kunstgeschichte allg. u. Epochendarstellungen		Kunstgeschichte allg. u. Epochendarstellungen	Art history on general and depiction of epoches		Art history on general and depiction of epoches	{"goe":{"fi":" lsg='7 ged 100' or lsg='7 ged 305'"},"kiel":["kun 29*"]}	702	["kun 29*"]	["kun 29*"]		["kun 29*"]	{"fi":" lsg='7 ged 100' or lsg='7 ged 305'"}	{"fi":" lsg='7 ged 100' or lsg='7 ged 305'"}		{"fi":" lsg='7 ged 100' or lsg='7 ged 305'"}	{"fi":" lsg='7 ged 100' or lsg='7 ged 305'"}
703	70X	Einzelne Künstler		Einzelne Künstler	Single artists		Single artists	{"kiel":["kun 990:mun 2","kun 990:lar 7"]}	703	["kun 990:mun 2","kun 990:lar 7"]	["kun 990:mun 2","kun 990:lar 7"]		["kun 990:mun 2","kun 990:lar 7"]		{"fi":" lsg='7 gh 300'"}	{"fi":" lsg='7 gh 300'"}	{"fi":"lsg='7 {"fi":" lsg='7 gh 300'"}'"}	{"fi":" lsg='7 gh 300'"}
71X	vn5	Raumplanung, Landschaftsgestaltung, Urbanistik		Raumplanung, Landschaftsgestaltung, Urbanistik	Civic and landscape art, urbanism		Civic and landscape art, urbanism	{"goe":{"fi":" lsg='7 gel 820'"},"kiel":["ska 595*","ska 596*","ska 827*","kun436*"]}	71-	["ska 595*","ska 596*","ska 827*","kun436*"]	["ska 595*","ska 596*","ska 827*","kun436*"]		["ska 595*","ska 596*","ska 827*","kun436*"]	{"fi":" lsg='7 gel 820'"}	{"fi":" lsg='7 gel 820'"}		{"fi":" lsg='7 gel 820'"}	{"fi":" lsg='7 gel 820'"}
72X	vn5	Architektur		Architektur	Architecture		Architecture	{"goe":{"fi":" lsg='7 gel?'"}}	72-		["kun 45*","ska 946*","kun 443.11"]		["kun 45*","ska 946*","kun 443.11"]	{"fi":" lsg='7 gel?'"}	{"fi":" lsg='7 gel?'"}		{"fi":" lsg='7 gel?'"}	{"fi":" lsg='7 gel?'"}
722	72X	Architektur allg. und nach Orten		Architektur allg. und nach Orten	Architecture on general and according to places		Architecture on general and according to places	{"goe":{"fi":" lsg='7 gel 100'"}}	722			[]		{"fi":" lsg='7 gel 100'"}	{"fi":" lsg='7 gel 100'"}		{"fi":" lsg='7 gel 100'"}	{"fi":" lsg='7 gel 100'"}
725	72X	Öffentliche Gebäude		Öffentliche Gebäude	Public structures		Public structures	{"goe":{"fi":" lsg='7 gel 743'"}}	725			[]		{"fi":" lsg='7 gel 743'"}	{"fi":" lsg='7 gel 743'"}		{"fi":" lsg='7 gel 743'"}	{"fi":" lsg='7 gel 743'"}
726	72X	Sakrale Architektur		Sakrale Architektur	Sacral Architecture		Sacral Architecture	{"goe":{"fi":" lsg='7 gel 700'"},"kiel":["kun 45*"]}	726	["kun 45*"]	["kun 45*"]		["kun 45*"]	{"fi":" lsg='7 gel 700'"}	{"fi":" lsg='7 gel 700'"}		{"fi":" lsg='7 gel 700'"}	{"fi":" lsg='7 gel 700'"}
728	72X	Wohnbauten, Schlösser, Burgen		Wohnbauten, Schlösser, Burgen	Residential buildings, chateaux, castles		Residential buildings, chateaux, castles	{"goe":{"fi":" lsg='7 gel 757' or lsg='7 gel 758' or lsg='7 gel 764'"},"kiel":["ska 946*","kun 443.11"]}	728	["ska 946*","kun 443.11"]	["ska 946*","kun 443.11"]		["ska 946*","kun 443.11"]	{"fi":" lsg='7 gel 757' or lsg='7 gel 758' or lsg='7 gel 764'"}	{"fi":" lsg='7 gel 757' or lsg='7 gel 758' or lsg='7 gel 764'"}		{"fi":" lsg='7 gel 757' or lsg='7 gel 758' or lsg='7 gel 764'"}	{"fi":" lsg='7 gel 757' or lsg='7 gel 758' or lsg='7 gel 764'"}
73X	vn5	Skulptur (Plastik)		Skulptur (Plastik)	Sculpture (Plastic arts)		Sculpture (Plastic arts)	{"goe":{"fi":" lsg='7 gek 100'"}}	73-			xxx		{"fi":" lsg='7 gek 100'"}	{"fi":" lsg='7 gek 100'"}	xxx	{"fi":" lsg='7 gek 100'"}	{"fi":" lsg='7 gek 100'"}
74X	vn5	Zeichnung und Graphik, Druckgraphik		Zeichnung und Graphik, Druckgraphik	Drawing and graphic arts, printmaking		Drawing and graphic arts, printmaking	{"goe":{"fi":" lsg='7 geh 100' or lsg='7 geh 720'"}}	74-			xxx		{"fi":" lsg='7 geh 100' or lsg='7 geh 720'"}	{"fi":" lsg='7 geh 100' or lsg='7 geh 720'"}	xxx	{"fi":" lsg='7 geh 100' or lsg='7 geh 720'"}	{"fi":" lsg='7 geh 100' or lsg='7 geh 720'"}
75X	vn5	Malerei und Gemälde		Malerei und Gemälde	Painting and paintings		Painting and paintings	{"goe":{"fi":" lsg='7 geg 100'"},"kiel":["kun 608.1","kun 613.2"]}	75-	["kun 608.1","kun 613.2"]	["kun 608.1","kun 613.2"]		["kun 608.1","kun 613.2"]	{"fi":" lsg='7 geg 100'"}	{"fi":" lsg='7 geg 100'"}		{"fi":" lsg='7 geg 100'"}	{"fi":" lsg='7 geg 100'"}
76X	vn5	Kunsthandwerk, Angewandte Kunst, Design, Inneneinrichtung		Kunsthandwerk, Angewandte Kunst, Design, Inneneinrichtung	Craftwork, decorative arts, design, interior decoration		Craftwork, decorative arts, design, interior decoration	{"goe":{"fi":" lsg='7 gem 100' or lsg='7 gem 710' or lsg='7 gem 720'"},"kiel":["kun 802*","kun819.2"]}	76-	["kun 802*","kun819.2"]	["kun 802*","kun819.2"]		["kun 802*","kun819.2"]	{"fi":" lsg='7 gem 100' or lsg='7 gem 710' or lsg='7 gem 720'"}	{"fi":" lsg='7 gem 100' or lsg='7 gem 710' or lsg='7 gem 720'"}		{"fi":" lsg='7 gem 100' or lsg='7 gem 710' or lsg='7 gem 720'"}	{"fi":" lsg='7 gem 100' or lsg='7 gem 710' or lsg='7 gem 720'"}
77X	vn5	Photographie, Photokunst, Computerkunst		Photographie, Photokunst, Computerkunst	Photography, fine art photography, computer art		Photography, fine art photography, computer art	{"goe":{"fi":" lsg='7 gen 200' or lsg='7 gen 450'"}}	77-			xxx		{"fi":" lsg='7 gen 200' or lsg='7 gen 450'"}	{"fi":" lsg='7 gen 200' or lsg='7 gen 450'"}	xxx	{"fi":" lsg='7 gen 200' or lsg='7 gen 450'"}	{"fi":" lsg='7 gen 200' or lsg='7 gen 450'"}
78X	vn5	Musik		Musik	Music		Music	{"goe":{"fi":" lsg='7 gu?' or lsg='7 gy?'"}}	78-		["mus 280*","mus 600.900","ska 963*","mus 580.200","mus 664.700","mus 664.800","mus 690:sib 3","mus 690:blo 5","mus 690:fel 3","mus 690:gad 4"]		["mus 280*","mus 600.900","ska 963*","mus 580.200","mus 664.700","mus 664.800","mus 690:sib 3","mus 690:blo 5","mus 690:fel 3","mus 690:gad 4"]	{"fi":" lsg='7 gu?' or lsg='7 gy?'"}	{"fi":" lsg='7 gu?' or lsg='7 gy?'"}		{"fi":" lsg='7 gu?' or lsg='7 gy?'"}	{"fi":" lsg='7 gu?' or lsg='7 gy?'"}
780	78X	Allgemeines		Allgemeines	General works		General works	{"kiel":["mus 280*","mus 600.900"]}	780	["mus 280*","mus 600.900"]	["mus 280*","mus 600.900"]		["mus 280*","mus 600.900"]			{}
781	78X	Volksmusik		Volksmusik	Folk music		Folk music	{"goe":{"fi":" lsg='7 guk 450'"},"kiel":["ska 963*","mus 580.200","mus 664.700","mus 664.800"]}	781	["ska 963*","mus 580.200","mus 664.700","mus 664.800"]	["ska 963*","mus 580.200","mus 664.700","mus 664.800"]		["ska 963*","mus 580.200","mus 664.700","mus 664.800"]	{"fi":" lsg='7 guk 450'"}	{"fi":" lsg='7 guk 450'"}		{"fi":" lsg='7 guk 450'"}	{"fi":" lsg='7 guk 450'"}
782	78X	Populäre Musik		Populäre Musik	Popular music		Popular music	{"goe":{"fi":" lsg='7 guu 000'"}}	782			[]		{"fi":" lsg='7 guu 000'"}	{"fi":" lsg='7 guu 000'"}		{"fi":" lsg='7 guu 000'"}	{"fi":" lsg='7 guu 000'"}
783	78X	Geistliche Musik		Geistliche Musik	Sacred music		Sacred music	{"goe":{"fi":" lsg='7 gur 520' or lsg='7 gur 680'"}}	783			[]		{"fi":" lsg='7 gur 520' or lsg='7 gur 680'"}	{"fi":" lsg='7 gur 520' or lsg='7 gur 680'"}		{"fi":" lsg='7 gur 520' or lsg='7 gur 680'"}	{"fi":" lsg='7 gur 520' or lsg='7 gur 680'"}
784	78X	Vokalmusik		Vokalmusik	Vocal music		Vocal music	{"goe":{"fi":" lsg='7 gum 000'"}}	784			[]		{"fi":" lsg='7 gum 000'"}	{"fi":" lsg='7 gum 000'"}		{"fi":" lsg='7 gum 000'"}	{"fi":" lsg='7 gum 000'"}
785	78X	Instrumentalmusik		Instrumentalmusik	Instrumental music		Instrumental music	{"goe":{"fi":" lsg='7 gun 000'"}}	785			[]		{"fi":" lsg='7 gun 000'"}	{"fi":" lsg='7 gun 000'"}		{"fi":" lsg='7 gun 000'"}	{"fi":" lsg='7 gun 000'"}
789	78X	Komponisten		Komponisten	Composers		Composers	{"goe":{"fi":" lsg='7 gy 000'"},"kiel":["mus 690:sib 3","mus 690:blo 5","mus 690:fel 3","mus 690:gad 4"]}	789	["mus 690:sib 3","mus 690:blo 5","mus 690:fel 3","mus 690:gad 4"]	["mus 690:sib 3","mus 690:blo 5","mus 690:fel 3","mus 690:gad 4"]		["mus 690:sib 3","mus 690:blo 5","mus 690:fel 3","mus 690:gad 4"]	{"fi":" lsg='7 gy 000'"}	{"fi":" lsg='7 gy 000'"}		{"fi":" lsg='7 gy 000'"}	{"fi":" lsg='7 gy 000'"}
79X	vn5	Freizeitgestaltung, darstellende Künste, Sport		Freizeitgestaltung, darstellende Künste, Sport	Recreational and performing arts		Recreational and performing arts	{"goe":{"fi":" lsg='7 fy?' or lsg='7 fz?' or lsg='7 fzo 000'"}}	79-		["ska 830.600","ska 972*","ska 971*","ska 961*","ska 961*","spo 375*","spo 396*"]		["ska 830.600","ska 972*","ska 971*","ska 961*","ska 961*","spo 375*","spo 396*"]	{"fi":" lsg='7 fy?' or lsg='7 fz?' or lsg='7 fzo 000'"}	{"fi":" lsg='7 fy?' or lsg='7 fz?' or lsg='7 fzo 000'"}		{"fi":" lsg='7 fy?' or lsg='7 fz?' or lsg='7 fzo 000'"}	{"fi":" lsg='7 fy?' or lsg='7 fz?' or lsg='7 fzo 000'"}
790	79X	Freizeitgestaltung		Freizeitgestaltung	Recreational activities		Recreational activities	{"goe":{"fi":" lsg='7 fz?'"},"kiel":["ska 830.600","ska 972*"]}	790	["ska 830.600","ska 972*"]	["ska 830.600","ska 972*"]		["ska 830.600","ska 972*"]	{"fi":" lsg='7 fz?'"}	{"fi":" lsg='7 fz?'"}		{"fi":" lsg='7 fz?'"}	{"fi":" lsg='7 fz?'"}
791	79X	Öffentliche Darbietungen (Zirkus, Festumzüge etc.)		Öffentliche Darbietungen (Zirkus, Festumzüge etc.)	Public performances (circuses, pageants etc.)		Public performances (circuses, pageants etc.)	{"goe":{"fi":" lsg='7 fzo 000'"},"kiel":["ska 971*"]}	791	["ska 971*"]	["ska 971*"]		["ska 971*"]	{"fi":" lsg='7 fzo 000'"}	{"fi":" lsg='7 fzo 000'"}		{"fi":" lsg='7 fzo 000'"}	{"fi":" lsg='7 fzo 000'"}
792	79X	Film, Hörfunk, Fernsehen		Film, Hörfunk, Fernsehen	Motion pictures, radio, television		Motion pictures, radio, television		792			xxx				xxx
793	79X	Bühnenkunst, Theater, Ballett		Bühnenkunst, Theater, Ballett	Stage presentations, theater, ballet		Stage presentations, theater, ballet		793			xxx				xxx
794	79X	Spiele		Spiele	Games		Games	{"goe":{"fi":" lsg='7 fz?'"},"kiel":["ska 961*"]}	794	["ska 961*"]	["ska 961*"]		["ska 961*"]	{"fi":" lsg='7 fz?'"}	{"fi":" lsg='7 fz?'"}		{"fi":" lsg='7 fz?'"}	{"fi":" lsg='7 fz?'"}
795	79X	Gesellschafts- und Volkstanz		Gesellschafts- und Volkstanz	Social and folk dancing		Social and folk dancing	{"kiel":["ska 961*"]}	795	["ska 961*"]	["ska 961*"]		["ska 961*"]			{}
796	79X	Sport		Sport	Sports		Sports	{"goe":{"fi":" lsg='7 fy?'"},"kiel":["spo 375*","spo 396*"]}	796	["spo 375*","spo 396*"]	["spo 375*","spo 396*"]		["spo 375*","spo 396*"]	{"fi":" lsg='7 fy?'"}	{"fi":" lsg='7 fy?'"}		{"fi":" lsg='7 fy?'"}	{"fi":" lsg='7 fy?'"}
